"unigram","bigram","freq"
"it","at",74
"it","didnt",74
"its","an",74
"let","it",74
"like","an",74
"love","this",74
"makes","it",74
"me","so",74
"me","with",74
"my","mother",74
"on","what",74
"or","even",74
"people","have",74
"start","to",74
"that","makes",74
"the","death",74
"the","rain",74
"they","did",74
"things","are",74
"though","the",74
"to","finish",74
"to","lose",74
"to","one",74
"why","is",74
"with","two",74
"world","of",74
"year","the",74
"years","old",74
"a","picture",73
"a","story",73
"and","take",73
"at","his",73
"back","of",73
"both","of",73
"didnt","want",73
"do","is",73
"ended","up",73
"excited","about",73
"have","never",73
"hes","a",73
"i","actually",73
"it","should",73
"make","you",73
"matter","what",73
"more","to",73
"must","have",73
"no","i",73
"of","some",73
"on","one",73
"one","in",73
"set","of",73
"she","says",73
"some","time",73
"the","bar",73
"the","crowd",73
"the","head",73
"the","heart",73
"the","perfect",73
"the","report",73
"the","series",73
"the","south",73
"three","years",73
"to","cut",73
"to","feel",73
"was","able",73
"will","get",73
"a","statement",72
"a","yearold",72
"allowed","to",72
"and","others",72
"are","at",72
"as","for",72
"at","an",72
"aware","of",72
"be","back",72
"but","what",72
"compared","to",72
"death","of",72
"earlier","this",72
"from","this",72
"i","asked",72
"in","on",72
"in","place",72
"in","recent",72
"more","information",72
"one","i",72
"role","in",72
"so","if",72
"so","long",72
"so","to",72
"the","body",72
"the","deal",72
"tired","of",72
"a","fun",71
"are","very",71
"ask","for",71
"back","from",71
"before","you",71
"for","now",71
"give","up",71
"glad","you",71
"has","become",71
"have","all",71
"house","and",71
"how","is",71
"i","only",71
"i","wouldnt",71
"it","that",71
"know","why",71
"let","us",71
"lot","more",71
"love","of",71
"most","important",71
"not","so",71
"on","for",71
"onto","the",71
"said","and",71
"say","it",71
"that","doesnt",71
"those","of",71
"to","what",71
"using","a",71
"we","did",71
"would","make",71
"an","awesome",70
"and","made",70
"and","say",70
"best","of",70
"can","also",70
"doesnt","have",70
"for","about",70
"game","of",70
"have","it",70
"have","made",70
"i","put",70
"in","time",70
"in","two",70
"it","be",70
"looking","to",70
"need","for",70
"pretty","good",70
"tend","to",70
"that","day",70
"the","beach",70
"the","weather",70
"the","worlds",70
"them","out",70
"they","should",70
"to","catch",70
"to","end",70
"way","that",70
"which","are",70
"a","movie",69
"and","new",69
"as","far",69
"do","what",69
"enjoy","the",69
"failed","to",69
"go","for",69
"have","one",69
"he","does",69
"his","family",69
"how","long",69
"if","your",69
"in","terms",69
"it","really",69
"led","to",69
"love","with",69
"one","who",69
"out","at",69
"real","estate",69
"s","and",69
"someone","else",69
"sometimes","i",69
"soon","as",69
"still","in",69
"that","of",69
"the","difference",69
"the","fourth",69
"the","girls",69
"the","issue",69
"the","league",69
"the","west",69
"them","with",69
"they","get",69
"to","believe",69
"to","celebrate",69
"was","about",69
"why","not",69
"with","one",69
"you","ever",69
"a","bunch",68
"am","going",68
"at","her",68
"at","night",68
"be","with",68
"because","you",68
"began","to",68
"but","thats",68
"call","me",68
"check","it",68
"continues","to",68
"day","at",68
"find","it",68
"good","thing",68
"has","an",68
"he","told",68
"hope","that",68
"hours","of",68
"how","we",68
"if","not",68
"in","mind",68
"is","as",68
"like","me",68
"my","parents",68
"oh","and",68
"parts","of",68
"so","what",68
"thing","that",68
"think","im",68
"this","way",68
"to","improve",68
"to","pm",68
"will","also",68
"will","you",68
"with","other",68
"a","happy",67
"all","your",67
"are","being",67
"believe","in",67
"excited","for",67
"feel","that",67
"from","their",67
"home","in",67
"i","agree",67
"i","try",67
"in","town",67
"it","it",67
"ive","had",67
"just","saw",67
"last","years",67
"like","my",67
"never","be",67
"on","me",67
"on","some",67
"one","to",67
"picture","of",67
"points","and",67
"thanks","so",67
"the","price",67
"the","site",67
"the","wall",67
"to","attend",67
"to","enjoy",67
"to","new",67
"to","not",67
"to","set",67
"us","a",67
"use","it",67
"when","its",67
"will","always",67
"a","life",66
"a","world",66
"and","well",66
"anyone","who",66
"are","also",66
"as","soon",66
"best","friend",66
"change","the",66
"charged","with",66
"do","u",66
"doing","it",66
"effort","to",66
"from","all",66
"fun","to",66
"haha","i",66
"help","you",66
"i","came",66
"is","getting",66
"it","again",66
"ive","seen",66
"know","its",66
"might","not",66
"millions","of",66
"my","sister",66
"no","problem",66
"out","i",66
"police","said",66
"saying","that",66
"so","glad",66
"there","for",66
"they","also",66
"to","begin",66
"to","continue",66
"to","offer",66
"to","raise",66
"vice","president",66
"was","born",66
"was","more",66
"was","still",66
"we","must",66
"you","must",66
"you","really",66
"after","i",65
"am","to",65
"and","out",65
"anyone","else",65
"both","the",65
"dealing","with",65
"for","dinner",65
"for","free",65
"get","that",65
"given","the",65
"good","and",65
"help","me",65
"in","san",65
"is","where",65
"know","about",65
"level","of",65
"majority","of",65
"middle","of",65
"more","and",65
"music","and",65
"my","wife",65
"night","and",65
"on","in",65
"on","tv",65
"she","would",65
"should","not",65
"started","to",65
"story","of",65
"that","time",65
"the","previous",65
"the","senate",65
"time","is",65
"time","when",65
"to","any",65
"to","wait",65
"valentines","day",65
"was","pretty",65
"was","really",65
"we","didnt",65
"were","all",65
"what","kind",65
"what","would",65
"who","would",65
"years","to",65
"you","you",65
"a","car",64
"a","row",64
"and","by",64
"at","our",64
"came","up",64
"day","with",64
"doing","a",64
"dont","you",64
"for","each",64
"for","new",64
"good","news",64
"have","that",64
"heading","to",64
"her","husband",64
"his","life",64
"i","bought",64
"if","that",64
"im","still",64
"in","at",64
"in","many",64
"is","expected",64
"leave","the",64
"managed","to",64
"not","as",64
"put","in",64
"really","good",64
"relationship","with",64
"same","thing",64
"that","for",64
"the","park",64
"the","store",64
"the","title",64
"time","you",64
"two","days",64
"will","go",64
"year","in",64
"a","local",63
"a","sense",63
"a","variety",63
"also","have",63
"and","can",63
"are","now",63
"are","we",63
"as","one",63
"as","to",63
"be","here",63
"but","as",63
"by","and",63
"cost","of",63
"dont","be",63
"dont","see",63
"example","of",63
"felt","like",63
"for","many",63
"he","made",63
"how","did",63
"if","im",63
"in","december",63
"in","he",63
"interest","in",63
"is","i",63
"me","of",63
"money","to",63
"more","like",63
"moved","to",63
"my","blog",63
"not","really",63
"now","we",63
"of","two",63
"on","april",63
"rt","if",63
"said","a",63
"school","in",63
"sure","that",63
"them","on",63
"this","i",63
"to","break",63
"to","listen",63
"together","and",63
"try","and",63
"was","there",63
"week","i",63
"will","come",63
"world","and",63
"year","of",63
"you","make",63
"a","gift",62
"and","yet",62
"at","and",62
"at","one",62
"because","she",62
"been","on",62
"before","they",62
"board","of",62
"but","now",62
"by","his",62
"can","have",62
"cup","of",62
"declined","to",62
"does","that",62
"fan","of",62
"get","off",62
"getting","ready",62
"he","doesnt",62
"he","wants",62
"head","of",62
"i","hear",62
"is","and",62
"it","feels",62
"it","into",62
"it","off",62
"just","have",62
"let","you",62
"life","in",62
"life","of",62
"looked","at",62
"love","my",62
"me","as",62
"oh","my",62
"remember","the",62
"season","and",62
"similar","to",62
"stay","tuned",62
"take","on",62
"taking","the",62
"the","books",62
"the","council",62
"the","governor",62
"the","media",62
"the","start",62
"then","we",62
"this","and",62
"thought","that",62
"to","deal",62
"to","pull",62
"to","wear",62
"weve","got",62
"without","the",62
"wouldnt","be",62
"a","black",61
"a","break",61
"a","hard",61
"a","high",61
"and","over",61
"can","use",61
"cant","be",61
"center","of",61
"city","and",61
"do","to",61
"down","a",61
"from","her",61
"from","that",61
"from","your",61
"get","on",61
"give","the",61
"go","home",61
"good","day",61
"in","america",61
"in","june",61
"it","down",61
"just","because",61
"kinds","of",61
"lets","get",61
"matter","how",61
"new","orleans",61
"once","a",61
"our","lives",61
"people","that",61
"sorry","for",61
"supreme","court",61
"the","amount",61
"the","blazers",61
"the","department",61
"the","full",61
"thing","is",61
"to","cover",61
"to","those",61
"vote","for",61
"weve","been",61
"what","about",61
"what","happens",61
"again","and",60
"and","those",60
"between","and",60
"but","still",60
"came","from",60
"congrats","to",60
"enough","for",60
"feels","like",60
"four","years",60
"hang","out",60
"id","be",60
"is","pretty",60
"little","more",60
"me","some",60
"my","eyes",60
"not","like",60
"not","too",60
"officials","said",60
"only","thing",60
"or","just",60
"really","like",60
"really","want",60
"than","that",60
"the","band",60
"the","cost",60
"the","girl",60
"the","playoffs",60
"the","small",60
"the","woman",60
"the","young",60
"their","first",60
"think","they",60
"this","has",60
"to","for",60
"to","vote",60
"types","of",60
"us","for",60
"we","went",60
"well","and",60
"where","are",60
"win","a",60
"you","havent",60
"a","short",59
"always","be",59
"always","been",59
"and","got",59
"and","keep",59
"and","only",59
"at","your",59
"attention","to",59
"be","very",59
"can","find",59
"can","take",59
"closer","to",59
"coming","up",59
"day","the",59
"following","me",59
"for","lunch",59
"game","and",59
"guy","who",59
"has","made",59
"he","got",59
"hear","the",59
"im","glad",59
"im","really",59
"im","sorry",59
"in","case",59
"in","chicago",59
"in","february",59
"including","a",59
"including","the",59
"is","our",59
"is","when",59
"just","in",59
"know","who",59
"loss","of",59
"me","it",59
"me","out",59
"meant","to",59
"more","people",59
"much","i",59
"of","years",59
"off","and",59
"or","to",59
"realize","that",59
"same","way",59
"says","that",59
"see","my",59
"that","to",59
"the","art",59
"the","better",59
"the","gym",59
"the","song",59
"the","streets",59
"the","thing",59
"this","post",59
"thought","of",59
"to","return",59
"was","too",59
"with","more",59
"years","later",59
"a","home",58
"a","pair",58
"a","public",58
"a","recent",58
"also","the",58
"am","and",58
"are","looking",58
"back","into",58
"be","doing",58
"being","the",58
"believe","it",58
"bottom","of",58
"by","an",58
"designed","to",58
"doing","the",58
"even","a",58
"even","when",58
"far","as",58
"get","ready",58
"goes","to",58
"have","my",58
"headed","to",58
"i","keep",58
"in","every",58
"is","too",58
"it","did",58
"makes","a",58
"money","for",58
"more","likely",58
"my","hair",58
"my","name",58
"name","of",58
"not","all",58
"not","know",58
"not","yet",58
"of","three",58
"or","at",58
"power","of",58
"response","to",58
"responsible","for",58
"returned","to",58
"stay","in",58
"still","a",58
"take","care",58
"that","much",58
"that","our",58
"the","business",58
"the","children",58
"the","face",58
"the","key",58
"the","largest",58
"the","light",58
"the","no",58
"the","size",58
"there","in",58
"thing","to",58
"this","case",58
"this","day",58
"three","of",58
"to","happen",58
"to","kill",58
"was","all",58
"what","did",58
"what","im",58
"where","it",58
"which","will",58
"win","the",58
"work","to",58
"year","ago",58
"a","night",57
"a","point",57
"a","third",57
"about","me",57
"about","minutes",57
"and","dont",57
"and","ill",57
"and","why",57
"as","in",57
"at","some",57
"be","like",57
"became","a",57
"but","to",57
"everyone","else",57
"first","of",57
"focused","on",57
"from","me",57
"great","weekend",57
"happy","hour",57
"here","to",57
"hes","not",57
"home","from",57
"i","finally",57
"im","on",57
"in","april",57
"in","march",57
"it","from",57
"it","or",57
"keep","up",57
"know","where",57
"last","day",57
"like","they",57
"making","the",57
"move","to",57
"not","for",57
"now","is",57
"or","is",57
"out","what",57
"range","of",57
"reason","to",57
"refused","to",57
"talked","about",57
"thats","how",57
"the","agency",57
"the","chance",57
"the","green",57
"the","lead",57
"the","left",57
"the","scene",57
"there","i",57
"time","at",57
"to","fight",57
"to","focus",57
"to","love",57
"to","pass",57
"to","sit",57
"today","at",57
"told","him",57
"water","and",57
"with","and",57
"you","find",57
"a","member",56
"all","night",56
"although","the",56
"always","a",56
"and","put",56
"and","would",56
"as","my",56
"asked","to",56
"buy","a",56
"call","it",56
"care","about",56
"copy","of",56
"feel","the",56
"few","months",56
"for","minutes",56
"great","time",56
"him","he",56
"him","on",56
"i","live",56
"in","november",56
"in","when",56
"it","back",56
"it","this",56
"knew","i",56
"like","im",56
"men","and",56
"more","in",56
"no","doubt",56
"of","each",56
"of","him",56
"outside","of",56
"past","the",56
"so","when",56
"something","like",56
"start","the",56
"such","an",56
"that","people",56
"the","ability",56
"the","baby",56
"the","fall",56
"the","garden",56
"the","heat",56
"the","nba",56
"the","nfl",56
"the","teams",56
"them","all",56
"them","the",56
"this","game",56
"to","choose",56
"to","grow",56
"to","remember",56
"wanting","to",56
"was","great",56
"was","i",56
"well","be",56
"whats","your",56
"work","out",56
"worth","it",56
"wrong","with",56
"you","didnt",56
"you","never",56
"youll","be",56
"your","heart",56
"youre","welcome",56
"youve","got",56
"a","fan",55
"a","similar",55
"after","he",55
"agreed","to",55
"all","but",55
"and","white",55
"be","happy",55
"be","made",55
"case","of",55
"coming","out",55
"do","have",55
"doesnt","mean",55
"far","from",55
"found","the",55
"from","our",55
"getting","the",55
"go","and",55
"got","some",55
"hall","of",55
"have","more",55
"i","forgot",55
"i","missed",55
"if","this",55
"im","getting",55
"in","what",55
"it","wont",55
"it","you",55
"just","about",55
"just","for",55
